up_mid,up_name,video_count,total_view,total_like,total_coin,total_interaction,avg_view,avg_like_rate,top10_count
349888821,KleinerPixel,1,2278373,135608,23987,196799,2278373.0,0.0595,0
384335993,尾巴不想说,1,2275458,40897,8673,79277,2275458.0,0.018,0
692013548,谭盐,1,2273821,429791,43561,542091,2273821.0,0.189,1
320491072,绯绯Feifei,1,2272002,111892,69324,228152,2272002.0,0.0492,0
12097051,新谷葉葉子,1,2269923,181538,36637,291325,2269923.0,0.08,0
304573559,王葳-,1,2269774,277358,75674,503768,2269774.0,0.1222,1
3546868686522469,ナユタン星人_官方,1,2268349,218800,49655,396725,2268349.0,0.0965,0
3546749308242173,初音未来缤纷舞台,1,2267771,100158,16000,163203,2267771.0,0.0442,0
38978096,波也制造,1,2264110,229185,7650,263695,2264110.0,0.1012,0
90684627,佳能同学会,1,2262801,136295,35517,229374,2262801.0,0.0602,0
358371443,黯穹,1,2262542,120661,82889,239846,2262542.0,0.0533,0
14501952,Fame亮亮,1,2261631,190077,25956,276609,2261631.0,0.084,0
427652006,柚卡yk,1,2259610,290822,117692,561034,2259610.0,0.1287,0
15436862,阿德托昆博带件衣服,1,2255944,46448,15018,94176,2255944.0,0.0206,0
24478119,路路迷路路,1,2254174,169501,13627,199965,2254174.0,0.0752,0
276281827,账号已注销,1,2250308,88569,16241,166424,2250308.0,0.0394,1
39777637,超英队长,1,2243345,82058,27715,167591,2243345.0,0.0366,0
27495807,强风吹狗头,1,2238119,22654,4087,61763,2238119.0,0.0101,0
19143298,曹央央,1,2229338,449969,30139,515142,2229338.0,0.2018,0
3546869848345568,探甜日记,1,2227848,263777,4783,287260,2227848.0,0.1184,0
20603745,其人,1,2226974,519815,94698,704203,2226974.0,0.2334,0
14229967,一数,1,2225819,139117,50071,242348,2225819.0,0.0625,0
1851692134,小椒与小白,1,2224953,230133,24597,343226,2224953.0,0.1034,0
19549149,李国凯LGK,1,2223814,186041,34032,293940,2223814.0,0.0837,1
236795976,三木叔,1,2221453,126270,863,142647,2221453.0,0.0568,0
404987905,ACG外观研究社,1,2220864,94787,8112,129537,2220864.0,0.0427,0
33775467,人民网,1,2220230,346925,34502,422797,2220230.0,0.1563,1
449654106,司氏砸缸,1,2218343,340631,33818,395416,2218343.0,0.1536,0
3493106661985112,兔柔Tutu_,1,2217871,305285,11551,400553,2217871.0,0.1376,0
24476174,张白白bai,1,2217604,81933,805,95007,2217604.0,0.0369,0
316567547,美尼尔动画君,1,2215990,158129,69912,285069,2215990.0,0.0714,0
1716319265,rondeseo,1,2209347,288068,159273,573257,2209347.0,0.1304,0
1254786108,钉宫理惠,1,2206690,179610,73571,302189,2206690.0,0.0814,0
229034241,爱野钓的小范,1,2205032,149742,77978,253480,2205032.0,0.0679,0
432260419,海伦娜儿,1,2204439,225010,209252,533775,2204439.0,0.1021,0
382375531,馋大鑫,1,2202826,52958,8773,75927,2202826.0,0.024,0
13621328,干货哟,1,2196985,239577,63969,406469,2196985.0,0.109,1
189283155,锌之助吖,1,2196831,306908,132265,587646,2196831.0,0.1397,1
259571179,小鬼卡比,1,2196599,155761,62743,292249,2196599.0,0.0709,0
1786320,奥李奥,1,2196035,249981,95283,436546,2196035.0,0.1138,1
3546689617004894,阿木唱电影,1,2195385,315471,16902,395121,2195385.0,0.1437,0
